user_id,sexo,comentario,fecha_nacimiento
1,Mujer,"Me encanta la ficción literaria con profundidad emocional e histórica, como 'La sombra del viento' o 'The Book Thief'.",08/02/1980
2,Hombre,"Disfruto la no ficción que me hace pensar, como 'The Tipping Point', y clásicos aventureros como 'On the Road'.",02/04/1990
3,Hombre,Prefiero clásicos oscuros como 'Slaughterhouse-Five' y exploraciones filosóficas como 'Ishmael'.,09/11/1993
4,Prefiere no responder,Me gustan las historias emocionantes como 'Life of Pi' y releer Harry Potter por nostalgia.,12/04/2000
5,Prefiere no responder,Adoro los thrillers intensos como 'Brilliance' y la ficción literaria intrigante como 'Night Film'.,20/02/1987
6,Mujer,Me apasionan las memorias profundas como 'The Immortal Life' y la ficción reflexiva como 'Gilead'.,06/04/1977
7,Mujer,Disfruto la ficción literaria conmovedora como 'The Kite Runner' y exploraciones familiares como 'The Corrections'.,24/04/1983
8,Mujer,Amo los clásicos atemporales como 'Cien años de soledad' y las historias intensas como 'Beloved'.,17/02/1975
9,Mujer,Me atraen las novelas literarias modernas como 'The Goldfinch' y misterios como 'The Alienist'.,04/10/1989
10,Mujer,"Disfruto una mezcla ecléctica: ficción literaria como 'Atonement', clásicos como 'Pride and Prejudice', y thrillers como 'The Da Vinci Code'.",25/10/1991
11,Hombre,Me gustan las historias emotivas como 'The Kite Runner' y la no ficción histórica como 'John Adams' o 'Einstein'.,19/09/1985
12,Hombre,Prefiero thrillers llenos de suspense como 'Killing Floor' y clásicos emotivos como 'To Kill a Mockingbird'.,17/01/1990
13,Mujer,Amo la ficción literaria profunda como 'The Goldfinch' y reflexiones sociales como 'The Tipping Point'.,23/07/1987
14,Hombre,"Disfruto la ciencia ficción como 'Ender's Game', thrillers oscuros como 'The Road', y crónicas culturales como 'Kitchen Confidential'.",11/02/1993
15,Prefiere no responder,"Me encantan las aventuras juveniles como 'Harry Potter', la ficción reflexiva como 'The Handmaid's Tale', y lo curioso de 'Freakonomics'.",22/09/1997
16,Mujer,Prefiero clásicos profundos como 'Anna Karenina' y exploraciones filosóficas como 'Thus Spoke Zarathustra'.,21/07/1980
17,Hombre,Adoro los thrillers rápidos como 'The Firm' y la no ficción sobre comportamiento como 'Blink' o 'Outliers'.,15/11/1988
